Date,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M,19M,20M,21M,22M,23M,24M,25M,26M,27M,28M,29M,30M,31M,32M,33M,34M,35M,36M,37M,38M,39M,40M,41M,42M,43M,44M,45M,46M,47M,48M,49M,50M,51M,52M,53M,54M,55M,56M,57M,58M,59M,60M
04/01/2016,0.462970834,0.46533361,0.468217908,0.472245715,0.477828589,0.485055134,0.493917424,0.504339052,0.516198795,0.529376368,0.543743241,0.5591523,0.575401939,0.592267868,0.609563872,0.627135309,0.644849819,0.662591138,0.680255716,0.697758066,0.715034291,0.732037832,0.748735693,0.765105619,0.781133889,0.796813014,0.812139893,0.827114969,0.841741612,0.856025637,0.869974903,0.883599002,0.896908987,0.909917165,0.922636915,0.935082536,0.947269064,0.959211417,0.970923617,0.982418829,0.993709461,1.004807259,1.01572338,1.02646846,1.037052674,1.047485783,1.05777718,1.067935927,1.077970774,1.087889938,1.097700856,1.107410224,1.117024064,1.126547792,1.135986265,1.14534384,1.154624411,1.163831453,1.172968053,1.182036949
05/01/2016,0.463789689,0.466285504,0.46842909,0.471525682,0.47594993,0.481629685,0.488520414,0.496670838,0.50615282,0.517002178,0.529172283,0.542545272,0.556912563,0.572024461,0.587676293,0.603701639,0.619961079,0.636334693,0.652717742,0.669024955,0.685193317,0.701177631,0.716946637,0.732480113,0.747766541,0.762799931,0.777577255,0.792097768,0.806362612,0.820374504,0.834137482,0.847656695,0.860938241,0.87398902,0.886816627,0.89942925,0.911835564,0.924044306,0.936063815,0.947902035,0.959566563,0.971064685,0.98240342,0.993589546,1.004629624,1.015530029,1.026296964,1.036936477,1.04745447,1.057856527,1.068147749,1.078332772,1.088415818,1.098400728,1.108290999,1.118089814,1.127800071,1.137424405,1.146965211,1.156424667
06/01/2016,0.46261569,0.464767761,0.466627313,0.46866372,0.471447803,0.475290639,0.480401034,0.486893653,0.494779936,0.503990956,0.51439359,0.525815881,0.538072979,0.550996334,0.564444676,0.578296946,0.592446357,0.606796425,0.621258946,0.635758734,0.650236787,0.664647123,0.678953948,0.693129538,0.70715262,0.721007109,0.734681118,0.748166202,0.76145677,0.774549606,0.787443485,0.800138864,0.812637626,0.824942873,0.837058747,0.848990289,0.860743293,0.87232389,0.883738151,0.894992055,0.906091503,0.917042324,0.927850285,0.9385211,0.94906043,0.959473896,0.969767079,0.979945523,0.990014725,0.99997991,1.009845827,1.019616766,1.029296607,1.038888854,1.048396671,1.057822911,1.067170145,1.076440685,1.085636607,1.094759769
07/01/2016,0.465326789,0.466448542,0.467468265,0.468983658,0.471211258,0.474208444,0.478073742,0.482975048,0.489075098,0.496461767,0.505109861,0.514902303,0.525659017,0.537190524,0.549338114,0.561968413,0.574965928,0.588228081,0.601662435,0.615190355,0.628749427,0.642290235,0.655773542,0.669168165,0.682449391,0.695598045,0.708599816,0.721444422,0.734124917,0.746637137,0.758979247,0.771151381,0.783155342,0.794994356,0.80667287,0.818196381,0.829571256,0.840804141,0.851901434,0.862869264,0.873713524,0.884439902,0.895053902,0.905560866,0.915965993,0.926274351,0.936490896,0.94662048,0.956667844,0.966637416,0.976533114,0.986358377,0.996116203,1.005809197,1.015439602,1.025009334,1.03452001,1.043972972,1.053369313,1.062709897
08/01/2016,0.463606418,0.464807682,0.466187786,0.46765257,0.469284091,0.471302586,0.47397867,0.477546999,0.482174476,0.487969819,0.494971709,0.503149988,0.512392316,0.522535954,0.533432059,0.544946649,0.556956229,0.569344879,0.582002993,0.594834502,0.607763005,0.620728223,0.633682503,0.646588182,0.659415603,0.672141743,0.684749146,0.69722495,0.709560094,0.721748681,0.733787473,0.745675473,0.757413584,0.769004332,0.780451632,0.791760599,0.802937334,0.813988258,0.824919501,0.835736885,0.846445962,0.857052043,0.867560228,0.877975431,0.888302401,0.898545736,0.908709902,0.918799248,0.928817999,0.938770063,0.948658851,0.958487298,0.968257915,0.977972823,0.98763379,0.997242262,1.006799394,1.016306071,1.025762934,1.035170397
11/01/2016,0.464789611,0.466346763,0.46771986,0.469128421,0.470715711,0.472602528,0.474944277,0.477925362,0.481735745,0.486533401,0.492410905,0.499395951,0.507423189,0.516368262,0.526108233,0.536525343,0.547505493,0.558937222,0.570712051,0.582734041,0.59492628,0.607227341,0.619587915,0.631968287,0.644336429,0.656666661,0.668938617,0.681136313,0.693247387,0.705262499,0.717174845,0.728979754,0.740674371,0.75225739,0.763728828,0.775089844,0.786342559,0.797489595,0.808533671,0.819477552,0.83032405,0.841076012,0.851736319,0.862307882,0.872793638,0.883196548,0.893519595,0.903765778,0.913938105,0.924039434,0.934072303,0.944038935,0.953941274,0.963781002,0.973559571,0.98327822,0.992937992,1.002539756,1.012084215,1.021571927
12/01/2016,0.465067631,0.465917377,0.466731481,0.467643342,0.46874519,0.4700663,0.47170013,0.473820374,0.476642909,0.480366067,0.485115599,0.490943406,0.497808488,0.50560371,0.514216244,0.523533356,0.533442379,0.543830693,0.554586906,0.565612437,0.57682939,0.588176754,0.599606736,0.611082005,0.622573571,0.634058836,0.645520059,0.656943451,0.668318495,0.679637401,0.690894667,0.702086718,0.713211619,0.724268829,0.735259004,0.746183834,0.757045863,0.767847916,0.778592488,0.789281727,0.79991747,0.810501281,0.821034486,0.831518197,0.841953336,0.852340659,0.862680767,0.87297413,0.88322109,0.893421831,0.903576335,0.913684399,0.923745653,0.93375957,0.943725487,0.953642615,0.963510047,0.973326772,0.983091681,0.992803578
13/01/2016,0.464507966,0.465589019,0.466624875,0.467707755,0.468983809,0.47058718,0.472691811,0.475487649,0.479149746,0.483801257,0.489489866,0.496201918,0.503857996,0.512340672,0.521536148,0.531336059,0.541635871,0.552333823,0.563331183,0.574541385,0.585896214,0.597342388,0.608838315,0.620351653,0.631857431,0.643336217,0.654772584,0.666154344,0.677471985,0.688718225,0.699887656,0.710976447,0.721982107,0.732903289,0.743739625,0.754491589,0.76516037,0.775747573,0.786254936,0.796684287,0.807037535,0.817316662,0.827523709,0.837660777,0.847730011,0.857733605,0.867673789,0.87755283,0.887373013,0.89713648,0.906845078,0.916500373,0.926103673,0.935656054,0.945158381,0.954611325,0.964015383,0.973370891,0.982678037,0.991936877
14/01/2016,0.46345547,0.465008675,0.466395064,0.467576712,0.468768106,0.470120394,0.47183184,0.47414158,0.477283609,0.481428173,0.486653374,0.49295919,0.500252999,0.508388796,0.517232842,0.526665596,0.536577542,0.5468664,0.557436131,0.56820442,0.579107712,0.590097635,0.601137704,0.61220084,0.623267421,0.634322984,0.6453563,0.656358696,0.667323612,0.678246254,0.689123304,0.699952691,0.710733402,0.72146533,0.732149138,0.742786156,0.753378262,0.763927466,0.774435534,0.784903985,0.79533412,0.805727047,0.816083706,0.826404886,0.836691242,0.846943311,0.857161522,0.867346211,0.877497619,0.887615822,0.897700655,0.907751732,0.917768461,0.927750066,0.937695606,0.947603982,0.957473962,0.967304183,0.977093166,0.986839326
15/01/2016,0.462177323,0.462107503,0.461764781,0.460656056,0.458718797,0.456200303,0.453492832,0.451033414,0.449220087,0.44835904,0.448635989,0.450124508,0.452774976,0.456458391,0.461049244,0.46643075,0.472492281,0.479127661,0.486234796,0.493724417,0.501527368,0.509591077,0.517875945,0.526352647,0.534999924,0.543801276,0.552742259,0.561809948,0.570992669,0.580279794,0.589661572,0.599128991,0.608673666,0.618287749,0.62796385,0.637694973,0.647474472,0.657296086,0.667153977,0.677042685,0.686957083,0.696892335,0.706843866,0.716807328,0.72677858,0.736753658,0.746728764,0.756700245,0.766664579,0.776618405,0.786558542,0.796481975,0.806385843,0.816267421,0.826124112,0.83595343,0.845752995,0.855520522,0.865253811,0.874950744
